#node1	node2
P02452	Q9NPY3
Q13315	Q6PD62
P22102	Q9Y6K9
P09496	Q00610
O60729	Q9UJX2
P41221	P56704
P01243	P07910
O14815	Q9H1Y0
Q13617	Q92796
O00141	Q16658
Q13387	Q9UKR5
P02787	Q13509
P56975	Q8IUQ4
406883	Q92945
Q8N6P7	Q9HBE4
P62917	Q9H6J7
P15153	P46940
P04899	P0C869
P08047	Q8N4M1
O95633	P01106
P31947	Q96IF1
P29622	Q13418
P00533	P51813
P04141	P15260
P07332	Q5VU43
P35250	Q99459
P53985	Q15714
P53708	Q92752
Q12873	Q9NX55
P35900	Q6PJT7
P08107	Q9BXA6
P07437	Q07157
P22234	P63092
P12814	P60709
P46531	Q86UW9
Q99836	Q9Y608
Q92997	Q9UM47
O15533	P17693
P22061	P62993
Q13315	Q92547
P0CG06	Q9NRR5
P37275	P49716
O00330	Q15119
P63104	Q13698
P06239	Q14289
P12980	P52803
P05412	P21675
P50991	Q99459
P08588	P63096
Q6P2C8	Q9NPJ6
O00422	Q9UL03
P38405	Q8NG92
O43809	P48740
O43707	Q9NPC6
Q13315	Q99759
O60739	P67870
P01111	Q15052
O43707	P05556
P49768	Q02410
Q6Y7W6	Q8TF46
Q92624	Q96S15
Q8WWF5	Q969T4
P63241	Q92831
P49756	Q01094
Q05481	Q9GZM8
Q9Y4K3	Q9Y617
P26992	P42702
Q7Z6G3	Q9HC98
O15123	P35968
O75694	Q8TEM1
Q99459	Q99816
O14836	Q99836
Q15078	Q7L5N1
Q96B02	Q9ULK6
P61224	Q99558
Q12933	Q13114
P29353	Q06124
P05015	P31785
P01111	P05129
A4D0S4	Q7L0J3
O60674	Q5VWK5
P12034	P21802
P06899	Q7L7L0
O60551	P10415
P30281	P42773
O14513	P25054
P38405	Q8NGA8
A0JLT2	Q15648
P22694	Q9HAV0
P46060	Q99459
P61289	Q9Y6Q9
P18146	Q13478
Q71SY5	Q9NX70
P09619	Q13952
O14745	P46937
P35222	Q9BRK4
P22234	Q9UET6
P08865	P16871
P23508	Q9UL25
Q13315	Q5SW96
P18084	P24043
P10828	P27986
P15502	P23142
P51686	P80098
P16104	Q96DG6
P18146	Q15797
P04156	Q96NN9
O15511	P16871
P04217	P17931
Q05209	Q6ZN57
P03372	P19838
Q00839	Q9BUJ2
O95786	Q14790
P26368	Q8IYB3
Q15561	Q15834
P20333	Q9BYX7
O15389	O60880
Q16836	Q9Y478
P11171	Q9HC77
P55010	P68400
P17081	Q8NF50
Q02045	Q9H1R3
P37231	Q15466
P00505	P01241
P18124	P27635
O75398	Q9H1I8
P52272	Q00839
P18859	P19438
P14778	P51617
P04844	Q9HC24
Q01668	Q13976
Q92900	Q96AP0
P04233	Q02556
Q9NRR5	Q9P2K6
Q14318	Q9BVC4
P13232	P78552
P08670	Q14134
Q969S8	Q99877
Q8NFZ4	Q9HDB5
P08107	Q00597
P51610	Q09028
Q9GZN1	Q9Y265
Q13838	Q9Y3Y2
O95400	P50053
O00141	P01833
P51805	P67870
P42345	Q9UMX0
P56705	Q9UEF7
P29353	Q9H0H5
Q13769	Q6I9Y2
P36954	Q13315
Q15797	Q8TB52
P11387	P12956
A1IGU5	Q14161
O75928	Q15843
Q8IU60	Q92900
P19174	P31994
O60237	P14649
O00329	P01112
O75306	Q16718
P18146	P27797
O94921	Q8ND76
P36873	P42262
P12956	P49959
P32121	Q8NGC4
P19532	P53396
P16152	P56537
P00742	P13726
O95696	Q92794
O14641	Q7Z3G6
P68400	Q05513
O60506	Q16637
O60603	Q99836
O14593	P08123
Q07890	Q7Z5H3
O95433	Q9UET6
O15131	Q15274
O75038	P17252
9757	O43586
O95782	Q9Y4K3
P35244	Q13156
P62906	Q15843
P13807	P67870
P33778	P51965
P04899	P35372
P50219	P52945
P36406	Q96HA1
P35609	Q9UBI6
