#node1	node2
Q14164	Q9Y265
P11215	P36941
Q15102	Q9H190
A8MVU1	Q9C026
Q6VMQ6	Q9HCE0
O75312	Q96SN8
P55060	Q9Y6K9
Q01804	Q9HAW0
A8K6C2	P16471
P25786	Q9Y5K5
P11021	P11142
406992	P52797
P08172	P29992
P51817	Q9UNY4
P08047	P41440
P01889	Q15078
P38405	Q8NH42
P50570	P54252
P01106	Q9Y6K0
P36543	P61421
Q0VG06	Q8NB91
Q00610	Q9H0R8
145781	P05090
O00483	O75438
O14641	Q96B18
P08670	Q8NC51
Q8TB52	Q9HCE7
P05062	Q8IWZ6
P23634	Q13237
406906	Q9H6Z9
Q99878	Q99879
P53567	P55198
Q13326	Q16586
P48740	P49841
O60573	Q13541
P51681	Q8NHW4
O00548	O00587
P68366	Q96AH8
Q02156	Q15147
P06241	P16885
P06241	P48023
P23467	P42768
O43749	P32121
P62312	P62316
O00238	Q13153
Q13315	Q6ZUT1
P01138	P17948
O43889	P27361
Q86WV6	Q92985
P62714	Q16539
O75365	Q5BJD5
406906	O60806
P13667	Q9Y478
O43541	Q96J02
Q14517	Q9NSC5
Q13243	Q93033
O14640	Q15257
P63000	Q01105
P37231	Q9UM63
Q13535	Q3MIT2
P01137	Q13018
O75530	P38570
Q92905	Q96DB2
O60610	Q9UQB8
P01100	Q16663
Q5THR3	Q96ST3
P04626	P40189
P06401	P45983
P47736	Q16659
P02751	P16070
O15230	P16144
P62070	P62993
Q15287	Q8IWZ8
P01112	Q15283
P02790	P17931
O43251	Q9BZE0
P62495	Q14164
P0C5Z0	Q96RL1
P63104	Q92598
P01106	Q15102
P05388	P47914
Q15796	Q92831
P27361	P36894
P11362	P21781
P10275	P13984
O75578	P18564
P08651	Q9P0L1
O60934	Q96EB6
O00141	O95202
P04049	P27348
P62837	Q9BZR9
P14618	Q9UJ70
O75369	P63261
O75159	Q9UHF4
Q13131	Q8N5S9
P50502	Q14164
P62269	P62854
O95990	Q8N6Y0
P49959	Q13535
407025	Q9Y6K1
P06213	P15692
P47992	P49682
Q12778	Q13555
P04049	Q6TCH7
P01889	P35241
O15015	Q99750
P62136	Q96QC0
P08514	P78509
Q8N7H5	Q92541
P07108	Q9BVJ7
P50336	P54257
O60936	Q13158
P32248	Q15835
P62280	Q00005
P49841	Q9P0R6
Q96RN5	Q9GZV5
P17252	Q12879
Q92769	Q9HCU9
P00533	Q13393
P62333	Q9Y4K3
Q99570	Q9NYY3
P01889	Q5VWQ8
P10398	Q02833
P54136	Q00653
Q70EL1	Q9HD42
P17028	Q9UKR5
Q71F56	Q9UHV7
Q15642	Q9Y2W2
Q08170	Q15428
O60678	P61978
O43521	Q9NP97
P46527	Q9UGI9
O95997	Q01094
Q15907	Q9ULV0
Q13753	Q16610
O75530	P46783
P04637	Q96PM5
Q15287	Q9H7D7
O14512	Q9HC73
406935	P01116
P12034	P22607
P30050	P62917
O00238	P43026
P08069	P19086
P56199	Q07890
P13569	Q9NQH7
