#node1	node2
O15143	Q9UPY6
Q9HAU5	Q9UL03
O95251	Q13315
P49716	P58340
P06400	Q8NFD5
P06239	P22681
P55212	P80303
Q68CJ9	Q9NR55
O00305	P30559
P54619	Q8N122
P55769	Q5T3J3
Q9NUX5	Q9NYB0
O15444	P51677
P62873	Q03113
Q07817	Q99638
P27348	Q9P0V3
P07437	Q04206
P41594	Q05586
Q52LW3	Q9HBH0
P51149	Q9Y487
O75410	Q9UK45
Q96JB2	Q96MW5
Q99963	Q9C0J8
O75365	Q9Y5M8
P10301	Q13393
Q13547	Q15583
P22830	P27540
Q9UPN9	Q9Y265
P46781	Q9HCK5
O95180	Q9NZV8
P35579	Q13573
Q13404	Q9UBS8
P23527	Q16777
O15123	P20073
5512	O15169
P31995	Q8N6C8
O95433	P51398
O43502	Q06609
O15264	Q8NC51
P78362	Q13315
O95639	Q12996
Q8IYD8	Q9NW38
P08246	P15502
Q15759	Q9UK08
P13569	P16422
Q04917	Q92574
O60610	O75400
P42679	Q14289
P11387	Q9H0A0
O00257	P56545
P27635	P61513
Q15819	Q8IUQ4
P62273	P63220
P00387	Q9Y478
Q9BQG0	Q9UL18
P17612	P63096
Q96DC9	Q9Y4K3
P55735	P62330
P18146	Q6ZMY3
P14921	Q02548
P01889	P14174
P56945	Q14289
O95819	Q3ZCQ8
P10275	P13984
P18206	Q9Y224
Q13555	Q92793
P28062	Q03518
O75448	P37231
P62993	Q92956
P51116	Q15041
P42701	P60568
P41586	P59768
O43427	Q9Y6B7
P54253	Q8N1N0
O75914	Q9H1R3
Q05516	Q96HS1
O00329	Q9UBI6
Q13094	Q7Z5R6
P43358	Q86WT6
P09874	Q9UGL1
P62837	Q9Y4L5
O95983	Q9BTC8
O75694	P78406
Q5BKZ1	Q9UL18
P51587	Q9BXW9
P23470	P49023
O14920	Q3ZCQ8
P49841	Q15029
O00217	O95178
P09874	P0C0S5
P01876	P02751
Q14980	Q9UM73
O95685	Q8TD86
P49407	P51681
O15263	P05204
P09874	P13010
P45984	Q9Y4H2
P04637	Q9UKY1
Q6STE5	Q8NFD5
P18146	Q13887
Q09028	Q9H160
P62244	P62269
P14373	Q9H0Q3
P16220	P78549
Q9NQW1	Q9Y6B6
P42262	Q13555
P07910	Q12906
P62993	Q9UQ07
Q05513	Q9NQZ8
P58107	P62316
P62993	Q9UQQ2
Q96EN9	Q99750
P07437	P49642
Q13573	Q9NXV6
P22455	P46934
Q13557	Q9UQM7
P11021	P19838
P67775	Q08289
Q15116	Q9BQ51
Q13315	Q9NV56
P62834	Q9Y4K3
P0CAP2	Q8NEV4
Q13535	Q7Z5K2
P45973	Q16254
P42574	P47712
P46019	P62140
Q8NF91	Q9NRI5
P32121	Q8NGD4
P62979	Q15653
Q13530	Q99623
P23297	P26447
26820	P28482
O60266	P84996
P01215	P01225
P23458	Q06187
O00141	O15067
Q01118	Q9UQM7
P12956	P18669
P06493	Q9UKL4
P12814	Q5VTD9
Q99650	Q9NPF7
P62993	Q13568
O95644	Q02556
P08588	Q5TCQ9
O14513	P00519
P04406	P05067
P84095	Q9BZ29
Q13422	Q9HCP0
O43837	Q99873
P62993	Q05209
P31785	Q9UHD0
P08107	P53041
O60902	Q13952
P63000	Q8TEJ3
P55957	Q9HD36
P16298	Q13936
P07948	P43405
P10275	Q92831
Q9NPD8	Q9Y675
Q13526	Q9NY61
O15530	P31751
O14686	P61964
