#tail	head	edge_flux
P61077	Q9UBS8	3.06740e-07
P61077	Q9P0P0	3.06740e-07
P61077	P78317	3.06740e-07
P61077	Q9H6Y7	3.06740e-07
P61077	Q8N9I9	3.06740e-07
P61077	Q86UW7	3.06740e-07
P61077	Q9Y508	3.06740e-07
P61077	Q06587	3.06740e-07
P61077	O95628	3.06740e-07
P61077	Q9BZY9	3.06740e-07
P61077	Q9UPQ4	3.06740e-07
P61077	Q14258	3.06740e-07
P61077	Q6PCD5	3.06740e-07
P61077	O94941	3.06740e-07
P61077	Q9Y577	3.06740e-07
P61077	Q13064	3.06740e-07
P61077	Q86Y13	3.06740e-07
P61077	Q6UWE0	3.06740e-07
P61077	Q9C035	3.06740e-07
P61077	O60291	3.06740e-07
P61077	P14373	3.06740e-07
P61077	Q96PU4	3.06740e-07
P61077	Q8TDB6	3.06740e-07
P61077	Q96EP1	3.06740e-07
P61077	O43164	3.06740e-07
P61077	Q8IUQ4	3.06740e-07
P61077	Q9Y4L5	3.06740e-07
P61077	O15344	3.06740e-07
P61077	Q12899	3.06740e-07
P61077	O00237	3.06740e-07
P61077	Q9BZR9	3.06740e-07
P61077	Q9NVW2	3.06740e-07
P61077	Q14139	3.06740e-07
P61077	Q9C040	3.06740e-07
P61077	Q8N5U6	3.06740e-07
P61077	O95376	3.06740e-07
P61077	Q13233	3.06740e-07
P61077	Q9NS56	3.06740e-07
P61077	Q96P09	3.06740e-07
P61077	Q86UD3	3.06740e-07
P61077	Q96DX4	3.06740e-07
P61077	Q8WWF5	3.06740e-07
Q9P2S5	P62280	3.06732e-07
Q9P2S5	P35326	3.06732e-07
Q9P2S5	Q9UQE7	3.06732e-07
Q9P2S5	Q6P2I7	3.06732e-07
Q12996	Q92797	3.06717e-07
Q8N448	Q66K89	3.06703e-07
P07910	O75525	3.06696e-07
O15042	P98175	3.06669e-07
O15042	P52756	3.06669e-07
O95994	Q9GZT6	3.06665e-07
O95994	Q9NPI1	3.06665e-07
Q8IWZ8	P98175	3.06637e-07
Q8IWZ8	O43143	3.06637e-07
Q8IWZ8	Q96I25	3.06637e-07
P11230	Q7L5N1	3.06606e-07
P48723	Q9UMX0	3.06593e-07
Q15834	Q9UFG5	3.06484e-07
Q9P055	Q99942	3.06469e-07
P54105	Q14240	3.06464e-07
Q9NZN8	P18146	3.06436e-07
Q9P013	Q8IY92	3.06434e-07
Q969H0	P04217	3.06325e-07
Q969H0	P52789	3.06325e-07
Q969H0	Q9UKT4	3.06325e-07
Q969H0	O96020	3.06325e-07
Q969H0	Q9NQR1	3.06325e-07
Q969H0	Q8NC51	3.06325e-07
Q969H0	A6NE52	3.06325e-07
Q969H0	P13637	3.06325e-07
Q969H0	Q9H3D4	3.06325e-07
Q969H0	O60260	3.06325e-07
Q969H0	O14965	3.06325e-07
Q969H0	P62877	3.06325e-07
Q969H0	P98160	3.06325e-07
Q969H0	Q9UBK2	3.06325e-07
Q969H0	Q9Y6Q9	3.06325e-07
Q969H0	P46527	3.06325e-07
Q969H0	P49642	3.06325e-07
Q969H0	P10244	3.06325e-07
P13489	Q9UJS0	3.06315e-07
P13489	P38646	3.06315e-07
